frame.len,ip.hdr_len,ip.len,ip.ttl,ip.proto,tcp.len,tcp.seq,tcp.ack,tcp.hdr_len,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,tcp.time_delta,udp.length,udp.stream,icmp.type,icmp.seq,icmp.seq_le,icmp.resp_to,data.len,arp.hw.size,arp.proto.size,Status
1514,20,1500,64,6,1448,1450,1,32,1986182281,450354870,0,0,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,2,32,450354870,1986138340,0,0,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,2898,1,32,1986182281,450354870,4344,1448,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,1450,32,450367731,1986182281,0,0,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,4346,1,32,1986182281,450354870,4344,2896,0,0,0,0,0,0,0,757,0,0,0
362,20,348,64,6,296,5794,1,32,1986182281,450354870,4640,3192,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,6090,1,32,1986182281,450354870,6088,1448,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,7538,1,32,1986182281,450354870,7536,2896,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,8986,1,32,1986182281,450354870,8984,4344,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,10434,1,32,1986182281,450354870,10432,5792,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,11882,1,32,1986182281,450354870,11880,7240,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,13330,1,32,1986182295,450367731,13328,8688,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,14778,1,32,1986182295,450367731,14776,10136,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,16226,32,450367736,1986182281,0,0,0.02,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,16226,1,32,1986182316,450367736,10136,20272,0,0,0,0,0,0,0,0,0,0,0
8754,20,8740,64,6,8688,26362,1,32,1986182316,450367736,18824,28960,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,35050,1,32,1986182316,450367736,21720,31856,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,37946,1,32,1986182316,450367736,24616,34752,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,40842,1,32,1986182316,450367736,30408,40544,0,0,0,0,0,0,0,0,0,0,0
